"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"8710000US1330002","ZCTA5 30002, Georgia","5861"
"8710000US1330004","ZCTA5 30004, Georgia","53033"
"8710000US1330005","ZCTA5 30005, Georgia","34442"
"8710000US1330008","ZCTA5 30008, Georgia","29822"
"8710000US1330009","ZCTA5 30009, Georgia","13722"
"8710000US1330011","ZCTA5 30011, Georgia","14402"
"8710000US1330012","ZCTA5 30012, Georgia","27258"
"8710000US1330013","ZCTA5 30013, Georgia","25183"
"8710000US1330014","ZCTA5 30014, Georgia","35037"
"8710000US1330016","ZCTA5 30016, Georgia","51140"
"8710000US1330017","ZCTA5 30017, Georgia","20160"
"8710000US1330019","ZCTA5 30019, Georgia","40447"
"8710000US1330021","ZCTA5 30021, Georgia","21989"
"8710000US1330022","ZCTA5 30022, Georgia","64359"
"8710000US1330024","ZCTA5 30024, Georgia","64614"
"8710000US1330025","ZCTA5 30025, Georgia","9270"
"8710000US1330028","ZCTA5 30028, Georgia","22182"
"8710000US1330030","ZCTA5 30030, Georgia","26473"
"8710000US1330032","ZCTA5 30032, Georgia","47222"
"8710000US1330033","ZCTA5 30033, Georgia","30763"
"8710000US1330034","ZCTA5 30034, Georgia","43113"
"8710000US1330035","ZCTA5 30035, Georgia","20396"
"8710000US1330038","ZCTA5 30038, Georgia","37233"
"8710000US1330039","ZCTA5 30039, Georgia","41517"
"8710000US1330040","ZCTA5 30040, Georgia","54653"
"8710000US1330041","ZCTA5 30041, Georgia","52749"
"8710000US1330043","ZCTA5 30043, Georgia","80241"
"8710000US1330044","ZCTA5 30044, Georgia","79701"
"8710000US1330045","ZCTA5 30045, Georgia","34402"
"8710000US1330046","ZCTA5 30046, Georgia","34523"
"8710000US1330047","ZCTA5 30047, Georgia","59660"
"8710000US1330052","ZCTA5 30052, Georgia","59451"
"8710000US1330054","ZCTA5 30054, Georgia","11985"
"8710000US1330055","ZCTA5 30055, Georgia","3018"
"8710000US1330056","ZCTA5 30056, Georgia","2500"
"8710000US1330058","ZCTA5 30058, Georgia","52945"
"8710000US1330060","ZCTA5 30060, Georgia","34562"
"8710000US1330062","ZCTA5 30062, Georgia","62136"
"8710000US1330064","ZCTA5 30064, Georgia","46076"
"8710000US1330066","ZCTA5 30066, Georgia","52936"
"8710000US1330067","ZCTA5 30067, Georgia","45182"
"8710000US1330068","ZCTA5 30068, Georgia","31595"
"8710000US1330070","ZCTA5 30070, Georgia","342"
"8710000US1330071","ZCTA5 30071, Georgia","23005"
"8710000US1330072","ZCTA5 30072, Georgia","730"
"8710000US1330075","ZCTA5 30075, Georgia","52573"
"8710000US1330076","ZCTA5 30076, Georgia","42678"
"8710000US1330078","ZCTA5 30078, Georgia","33057"
"8710000US1330079","ZCTA5 30079, Georgia","2960"
"8710000US1330080","ZCTA5 30080, Georgia","49905"
"8710000US1330082","ZCTA5 30082, Georgia","25905"
"8710000US1330083","ZCTA5 30083, Georgia","50384"
"8710000US1330084","ZCTA5 30084, Georgia","35921"
"8710000US1330087","ZCTA5 30087, Georgia","36761"
"8710000US1330088","ZCTA5 30088, Georgia","25257"
"8710000US1330092","ZCTA5 30092, Georgia","31704"
"8710000US1330093","ZCTA5 30093, Georgia","53351"
"8710000US1330094","ZCTA5 30094, Georgia","31244"
"8710000US1330096","ZCTA5 30096, Georgia","62265"
"8710000US1330097","ZCTA5 30097, Georgia","41715"
"8710000US1330101","ZCTA5 30101, Georgia","54373"
"8710000US1330102","ZCTA5 30102, Georgia","37470"
"8710000US1330103","ZCTA5 30103, Georgia","14781"
